vocabulary,originalEntry,explanation,example,pinYin,location,place,source,toggle,whichCounty,whichTown
贺年羹(賀年羹),賀年羹,“贺年羹”是将正月十五吃剩的小汤团、米饭、各类蔬菜、馄饨和在一起烧的一顿早餐。用老一辈的人的说话，吃了“贺年羹”，一年顿顿有剩饭冷菜。如今的“贺年羹”，用料讲究，花式多样，以圆团、馄饨为主，加入桃仁、瓜子仁、地栗、菱、黑木耳等同煮。(“賀年羹”是將正月十五吃剩的小湯糰、米飯、各類蔬菜、餛飩和在一起燒的一頓早餐。用老一輩的人的說話，吃了“賀年羹”，一年頓頓有剩飯冷菜。如今的“賀年羹”，用料講究，花式多樣，以圓團、餛飩爲主，加入桃仁、瓜子仁、地栗、菱、黑木耳等同煮。),/呒啥啥/,/呒啥啥/,嘉定片,宝山·宝山,宝山县【散记】,TRUE,baoshan,baoshan_wusong
阿爸、阿爹(阿爸、阿爹),阿爸、阿爹,父亲(父親),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
懊憦(懊憦),懊咾,后悔、懊悔(後悔、懊悔),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
八姆淘里(八姆淘裏),伯姆淘裏,妯娌之间(妯娌之間),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
巴结(巴結),巴結,不轻易花钱(不輕易花錢),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
巴勿得(巴勿得),巴勿得,迫切盼望(迫切盼望),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
白马肉(白馬肉),白馬肉,豆腐(豆腐),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
百脚(百腳),百腳,蜈蚣(蜈蚣),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
摆噱头(擺噱頭),擺噱頭,吹牛(吹牛),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
被头箱(被頭箱),被頭箱,被橱(被櫥),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
勃愣头(勃愣頭),勃楞頭,头部热疖(頭部熱癤),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
柴头(柴頭),柴(昨夜)頭,昨晚(昨晚),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
吃生活(吃生活),吃生活,挨打(挨打),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
吃生活(吃生活),吃省活,受打(受打),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
痴子(癡子),癡子,精神病人(精神病人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
出客(出客),出客,漂亮(漂亮),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
出外块(出外塊),出外塊,分外收入(分外收入),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
打棚(打棚),打棚,开玩笑(開玩笑),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
当中横里(當中橫裏),當中橫裏,中间(中間),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
地栗(地栗),地栗,荸荠(荸荠),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
迭个(迭個),迭葛,这个(這個),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
迭个辰光(迭個辰光),迭個辰光,现在(現在),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
迭枪(迭槍),迭槍,近来(近來),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
迭眼(迭眼),迭眼,这些(這些),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
定头货(定頭貨),停頭貨,不易对付的人(不易對付的人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场乡志,TRUE,baoshan,baoshan_dachang
肚皮射(肚皮射),肚皮射,腹泻(腹瀉),/呒啥啥/,/呒啥啥/,本沪小片,宝山·大场,大场镇志,TRUE,baoshan,baoshan_dachang
