vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
卖力(賣力)	卖力	尽量使出自己的力量，用力，用功。(盡量使出自己的力量，用力，用功。)	mɑ¹¹ lɪʔ⁵³	mɑ¹¹ lɪʔ⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
卖票员(賣票員)	卖票员	售票员，多指公共汽车售票员。(售票員，多指公車售票員。)	mɑ¹¹ pʰiɔ⁴⁴ ɦyœ⁵³	mɑ¹¹ pʰiɔ⁴⁴ ɦyœ⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
卖少年(賣少年)	卖少年	贻误青春：勿要~，只骨=伏拉屋里打游戏。(貽誤青春：勿要~，只骨頭=伏拉屋裡打遊戲。)	mɑ¹¹ sɔ⁴⁴ ȵie⁵³	mɑ¹¹ sɔ⁴⁴ ȵie⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
卖相(賣相)	卖相	外貌。(外貌。)	mɑ²³ ɕiã(<siã)⁴⁴	mɑ²³ ɕiã(<siã)⁴⁴	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
脉□(脈□)	脉□	手和臂相接的部分，中医在这个部位把脉：搭~。 || “脉□ mæʔ¹¹ ɕie(<sie<*siʌʔ)¹³”大概是从“脉息”讹变而来的，“脉统=”则有可能受到通俗词源“袜统=”的影响。(手和臂相接的部分，中醫在這個部位把脈：搭~。 || 「脈□ mæʔ¹¹ ɕie(<sie<*siʌʔ)¹³」大概是從「脈息」訌變而來的，「脈統=」則有可能受到通俗詞源「襪統=」的影響。)	mæʔ¹¹ tʰoŋ¹³	mæʔ¹¹ tʰoŋ¹³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
蛮(蠻)	蛮	❶疑问助词，用于将行体：饭吃~（是否即刻开始吃饭）丨哀副眼镜拉哀浪，看见~（即刻去看，是否看见）。❷疑问助词，放在“啊”或“拉”后面，用于完成体：来拉~（是否已来）？(❶疑問助詞，用於將行體：飯吃~（是否即刻開始吃飯）丨哀副眼鏡拉哀浪，看見~（即刻去看，是否看見）。 ❷疑問助詞，放在「啊」或「拉」後面，用於完成體：來拉~（是否已來）？)	mæ	mæ	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
蛮(蠻)	蛮	前置副词，很，程度中等：~好。(前置副詞，很，程度中等：~好。)	mɛ⁵³	mɛ⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
蛮=(蠻=)	蛮=	不以为然：一个人头一趟发脾气，大家侪吓伊，一直发脾气，大家就~脱哉。(不以為然：一個人頭一趟發脾氣，大家儕嚇伊，一直發脾氣，大家就~脫哉。)	mɛ²²	mɛ²²	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
蛮张(蠻張)	蛮张	野蛮：立仔拆屙~。(野蠻：立仔拆屙~。)	mɛ⁴⁴ tsã²¹	mɛ⁴⁴ tsã²¹	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
馒头(饅頭)	馒头	馒头和包子的统称，包括有馅的和无馅的。(饅頭和包子的統稱，包括有餡的和無餡的。)	me¹¹ dɤ⁵³	me¹¹ dɤ⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
馒头糕(饅頭糕)	馒头糕	馒头和糕点的合称，回门、上梁等场合都会分发。(饅頭和糕點的合稱，回門、上樑等場合都會分發。)	me¹¹ dɤ⁴⁴ kɔ⁵³	me¹¹ dɤ⁴⁴ kɔ⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
鳗鲡(鰻鱺)	鳗鲡	鳗鱼。鱼身长形，乌背白肚，鳞小，生活在淡水中，捕食小动物。(鰻魚。魚長形，烏背白肚，鱗小，生活在淡水中，捕食小動物。)	me¹¹ ŋ⁵³	me¹¹ ŋ⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
鳗鲞(鰻鮞)	鳗鲞	一种干制食品。海鳗除去内脏后，微腌风干而成。(一種乾燥食品。海鰻除去內臟後，微醃風乾而成。)	me¹¹ ɕiã(<siã)⁵³	me¹¹ ɕiã(<siã)⁵³	本沪小片	嘉定·真如	真如吴语词语整理稿	true	jiading	jiading_zhenru	自旧档汇入	2026-09-16T16:01:28+08:00
